# d=[337.67291431 395.81229151 292.37194692 241.49389559 279.32503474
 240.68127613 240.96929768 257.31710769]
# TotalMass=6.49314606224876T, max_u17=48.98601775662887mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910760877628072385e-05
2.000000000000000042e-03,-2.928812313337393722e-04
4.000000000000000083e-03,-7.524551327594805649e-04
6.000000000000000125e-03,-1.427179624325387820e-03
8.000000000000000167e-03,-2.306351172541937222e-03
1.000000000000000021e-02,-3.379176567741095250e-03
1.200000000000000025e-02,-4.634753923844041335e-03
1.400000000000000029e-02,-6.062081420393617033e-03
1.600000000000000033e-02,-7.650101173612604624e-03
1.800000000000000211e-02,-9.387780721534606451e-03
2.000000000000000042e-02,-1.126423880953093641e-02
2.199999999999999872e-02,-1.326889703933803802e-02
2.400000000000000050e-02,-1.539162442830736659e-02
2.600000000000000228e-02,-1.762287780506201218e-02
2.800000000000000058e-02,-1.995382969365706166e-02
2.999999999999999889e-02,-2.237645635661366164e-02
3.200000000000000067e-02,-2.488357112256945475e-02
3.400000000000000244e-02,-2.746879251214802420e-02
3.600000000000000422e-02,-3.012644230548371105e-02
3.799999999999999906e-02,-3.285137493947893478e-02
4.000000000000000083e-02,-3.564456447868485228e-02
4.200000000000000261e-02,-3.851863845173240236e-02
4.399999999999999745e-02,-4.149173784313751889e-02
4.599999999999999922e-02,-4.458136869941226044e-02
4.800000000000000100e-02,-4.780408262511852413e-02
5.000000000000000278e-02,-5.117518129292908391e-02
5.200000000000000455e-02,-5.470846247762642389e-02
5.399999999999999939e-02,-5.841602211497470137e-02
5.600000000000000117e-02,-6.230812285231936143e-02
5.800000000000000294e-02,-6.639313491103041032e-02
5.999999999999999778e-02,-7.067756007239549276e-02
6.199999999999999956e-02,-7.516612548199169686e-02
6.400000000000000133e-02,-7.986192033460486062e-02
6.600000000000000311e-02,-8.476658480993512490e-02
6.800000000000000488e-02,-8.988054903927322759e-02
7.000000000000000666e-02,-9.520329964534626765e-02
7.200000000000000844e-02,-1.007336615980115035e-01
7.399999999999999634e-02,-1.064700843508874367e-01
7.599999999999999811e-02,-1.124109229953272338e-01
7.799999999999999989e-02,-1.185547071813541770e-01
8.000000000000000167e-02,-1.249003827198956473e-01
8.200000000000000344e-02,-1.314475320429563110e-01
8.400000000000000522e-02,-1.381965906825499690e-01
8.600000000000000699e-02,-1.451490383864177669e-01
8.799999999999999489e-02,-1.523075534383473151e-01
8.999999999999999667e-02,-1.596761380762047877e-01
9.199999999999999845e-02,-1.672602125874833034e-01
9.400000000000000022e-02,-1.750666751315141378e-01
9.600000000000000200e-02,-1.831039240014790681e-01
9.800000000000000377e-02,-1.913818390870993535e-01
1.000000000000000056e-01,-1.999045297770696283e-01
1.020000000000000073e-01,-2.086630440763147243e-01
1.040000000000000091e-01,-2.176424198976183999e-01
1.059999999999999970e-01,-2.268286901714531845e-01
1.079999999999999988e-01,-2.362086583587527933e-01
1.100000000000000006e-01,-2.457696478901039705e-01
1.120000000000000023e-01,-2.554992329977290311e-01
1.140000000000000041e-01,-2.653849587423990908e-01
1.160000000000000059e-01,-2.754140580776276437e-01
1.180000000000000077e-01,-2.855731735820181139e-01
1.199999999999999956e-01,-2.958480910754003324e-01
1.219999999999999973e-01,-3.062234917613450014e-01
1.239999999999999991e-01,-3.166827288495854265e-01
1.260000000000000009e-01,-3.272076338411575858e-01
1.280000000000000027e-01,-3.377783568301037098e-01
1.300000000000000044e-01,-3.483732443005161938e-01
1.320000000000000062e-01,-3.589687569807472611e-01
1.340000000000000080e-01,-3.695394293585427259e-01
1.360000000000000098e-01,-3.800578714629074262e-01
1.380000000000000115e-01,-3.904948124857520186e-01
1.400000000000000133e-01,-4.008191847608381098e-01
1.420000000000000151e-01,-4.109982455604669904e-01
1.440000000000000169e-01,-4.209977331426887348e-01
1.459999999999999909e-01,-4.307820525229396069e-01
1.479999999999999927e-01,-4.403144855991527606e-01
1.499999999999999944e-01,-4.495574195759279856e-01
1.519999999999999962e-01,-4.584725871564979127e-01
1.539999999999999980e-01,-4.670213117392039703e-01
1.559999999999999998e-01,-4.751647508946100773e-01
1.580000000000000016e-01,-4.828641317214929507e-01
1.600000000000000033e-01,-4.900897982569409339e-01
1.620000000000000051e-01,-4.968302323714270385e-01
1.640000000000000069e-01,-5.030833915247330257e-01
1.660000000000000087e-01,-5.088480255065551683e-01
1.680000000000000104e-01,-5.141237943015106726e-01
1.700000000000000122e-01,-5.189113532344494795e-01
1.720000000000000140e-01,-5.232124088069570744e-01
1.740000000000000158e-01,-5.270297514803692351e-01
1.759999999999999898e-01,-5.303672738730732528e-01
1.779999999999999916e-01,-5.332299841542822438e-01
1.799999999999999933e-01,-5.356240246754599976e-01
1.819999999999999951e-01,-5.375567050518282874e-01
1.839999999999999969e-01,-5.390365570803542505e-01
1.859999999999999987e-01,-5.400734162566422913e-01
1.880000000000000004e-01,-5.406785315156106275e-01
1.900000000000000022e-01,-5.408647015046845752e-01
1.920000000000000040e-01,-5.406464325478075317e-01
1.940000000000000058e-01,-5.400401107869098327e-01
1.960000000000000075e-01,-5.390641790424036683e-01
1.980000000000000093e-01,-5.377393078740165810e-01
2.000000000000000111e-01,-5.360885502032393113e-01
2.020000000000000129e-01,-5.341374696305497549e-01
2.040000000000000147e-01,-5.319142341039655442e-01
2.060000000000000164e-01,-5.294496686598948454e-01
2.080000000000000182e-01,-5.267772633111666991e-01
2.099999999999999922e-01,-5.239331345399630413e-01
2.119999999999999940e-01,-5.209559410267541324e-01
2.139999999999999958e-01,-5.178867560208835208e-01
2.159999999999999976e-01,-5.147689000131587811e-01
2.179999999999999993e-01,-5.116477380627971749e-01
2.200000000000000011e-01,-5.085593868832408715e-01
2.220000000000000029e-01,-5.055194049210274265e-01
