# d=[393.44295397 311.6924505  260.56913157 222.0839865  219.90263504
 228.49380951 204.72742741 223.58784435]
# TotalMass=5.309390988971084T, max_u17=57.64298718956595mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.911133513935378604e-05
2.000000000000000042e-03,-2.929091336389268532e-04
4.000000000000000083e-03,-7.525614774652353246e-04
6.000000000000000125e-03,-1.427461704807540333e-03
8.000000000000000167e-03,-2.306944889160478761e-03
1.000000000000000021e-02,-3.380236096242466258e-03
1.200000000000000025e-02,-4.636412891231546374e-03
1.400000000000000029e-02,-6.064394195336722353e-03
1.600000000000000033e-02,-7.652964606714033127e-03
1.800000000000000211e-02,-9.390838947995520936e-03
2.000000000000000042e-02,-1.126677641946606176e-02
2.199999999999999872e-02,-1.326972875192657456e-02
2.400000000000000050e-02,-1.538899200216084333e-02
2.600000000000000228e-02,-1.761436687323832129e-02
2.800000000000000058e-02,-1.993632014199430563e-02
2.999999999999999889e-02,-2.234611945716735368e-02
3.200000000000000067e-02,-2.483592471901995002e-02
3.400000000000000244e-02,-2.739882214986715317e-02
3.600000000000000422e-02,-3.002879152772593846e-02
3.799999999999999906e-02,-3.272060244005493834e-02
4.000000000000000083e-02,-3.547546032606543193e-02
4.200000000000000261e-02,-3.830658663595873370e-02
4.399999999999999745e-02,-4.123310734923676252e-02
4.599999999999999922e-02,-4.427391106699898882e-02
4.800000000000000100e-02,-4.744731215910540784e-02
5.000000000000000278e-02,-5.077071467867591559e-02
5.200000000000000455e-02,-5.426029711152366430e-02
5.399999999999999939e-02,-5.793073683739988905e-02
5.600000000000000117e-02,-6.179499051867267528e-02
5.800000000000000294e-02,-6.586414276655606914e-02
5.999999999999999778e-02,-7.014734053540989944e-02
6.199999999999999956e-02,-7.465180600814763645e-02
6.400000000000000133e-02,-7.938290592193612827e-02
6.600000000000000311e-02,-8.434428994658663137e-02
6.800000000000000488e-02,-8.953809722860278653e-02
7.000000000000000666e-02,-9.496520802852527476e-02
7.200000000000000844e-02,-1.006255258268683311e-01
7.399999999999999634e-02,-1.065182751472018852e-01
7.599999999999999811e-02,-1.126423013285131197e-01
7.799999999999999989e-02,-1.189963603528542135e-01
8.000000000000000167e-02,-1.255793795119789780e-01
8.200000000000000344e-02,-1.323906920464504589e-01
8.400000000000000522e-02,-1.394302613862651308e-01
8.600000000000000699e-02,-1.466988738047335372e-01
8.799999999999999489e-02,-1.541982899489911518e-01
8.999999999999999667e-02,-1.619313664809540199e-01
9.199999999999999845e-02,-1.699021497325211849e-01
9.400000000000000022e-02,-1.781159431196386866e-01
9.600000000000000200e-02,-1.865793494097071070e-01
9.800000000000000377e-02,-1.953002879961211469e-01
1.000000000000000056e-01,-2.042807957921360662e-01
1.020000000000000073e-01,-2.135098056772820885e-01
1.040000000000000091e-01,-2.229702817314843932e-01
1.059999999999999970e-01,-2.326463199465573506e-01
1.079999999999999988e-01,-2.425230255924834544e-01
1.100000000000000006e-01,-2.525863637545882057e-01
1.120000000000000023e-01,-2.628229830518197252e-01
1.140000000000000041e-01,-2.732200130509362945e-01
1.160000000000000059e-01,-2.837648368221769024e-01
1.180000000000000077e-01,-2.944448413860123459e-01
1.199999999999999956e-01,-3.052471503666975838e-01
1.219999999999999973e-01,-3.161583448412244590e-01
1.239999999999999991e-01,-3.271641799712905474e-01
1.260000000000000009e-01,-3.382493063454048987e-01
1.280000000000000027e-01,-3.493970058682124291e-01
1.300000000000000044e-01,-3.605889523796528273e-01
1.320000000000000062e-01,-3.718050068837348010e-01
1.340000000000000080e-01,-3.830230562921513315e-01
1.360000000000000098e-01,-3.942189029817950163e-01
1.380000000000000115e-01,-4.053662103272615003e-01
1.400000000000000133e-01,-4.164365068493470212e-01
1.420000000000000151e-01,-4.273992489030415398e-01
1.440000000000000169e-01,-4.382219391150588561e-01
1.459999999999999909e-01,-4.488702952702906535e-01
1.479999999999999927e-01,-4.593084622162014741e-01
1.499999999999999944e-01,-4.694992577443575787e-01
1.519999999999999962e-01,-4.794044424103671709e-01
1.539999999999999980e-01,-4.889850029035812118e-01
1.559999999999999998e-01,-4.982014388561160079e-01
1.580000000000000016e-01,-5.070140438163461827e-01
1.600000000000000033e-01,-5.153919989282018665e-01
1.620000000000000051e-01,-5.233224401466841647e-01
1.640000000000000069e-01,-5.308018408850116998e-01
1.660000000000000087e-01,-5.378273702257919675e-01
1.680000000000000104e-01,-5.443970480251355548e-01
1.700000000000000122e-01,-5.505098628207133471e-01
