# d=[356.81439805 296.73642533 310.89880227 203.6817041  231.07595192
 225.02111335 219.4409256  196.11117445]
# TotalMass=5.134273270470971T, max_u17=59.985331524421916mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910989567599129384e-05
2.000000000000000042e-03,-2.928978891390974430e-04
4.000000000000000083e-03,-7.525183962697838940e-04
6.000000000000000125e-03,-1.427353122616266661e-03
8.000000000000000167e-03,-2.306745011013953441e-03
1.000000000000000021e-02,-3.379966051944756529e-03
1.200000000000000025e-02,-4.636196208998285238e-03
1.400000000000000029e-02,-6.064521750196195764e-03
1.600000000000000033e-02,-7.653959088961084269e-03
1.800000000000000211e-02,-9.393507094306375801e-03
2.000000000000000042e-02,-1.127223692459223062e-02
2.199999999999999872e-02,-1.327940503449662364e-02
2.400000000000000050e-02,-1.540456175781488961e-02
2.600000000000000228e-02,-1.763766436205200724e-02
2.800000000000000058e-02,-1.996919202752867745e-02
2.999999999999999889e-02,-2.239024024204896296e-02
3.200000000000000067e-02,-2.489258285796547288e-02
3.400000000000000244e-02,-2.746869222394826907e-02
3.600000000000000422e-02,-3.011171095747670889e-02
3.799999999999999906e-02,-3.281537274197623977e-02
4.000000000000000083e-02,-3.557969253442286317e-02
4.200000000000000261e-02,-3.841660821589803348e-02
4.399999999999999745e-02,-4.134394451333547882e-02
4.599999999999999922e-02,-4.437935639237114427e-02
4.800000000000000100e-02,-4.754008241416561587e-02
5.000000000000000278e-02,-5.084269780242956643e-02
5.200000000000000455e-02,-5.430288099784130046e-02
5.399999999999999939e-02,-5.793520659548652418e-02
5.600000000000000117e-02,-6.175297571026511223e-02
5.800000000000000294e-02,-6.576809218870982576e-02
5.999999999999999778e-02,-6.999099974129749380e-02
6.199999999999999956e-02,-7.443067211451985521e-02
6.400000000000000133e-02,-7.909463536698888020e-02
6.600000000000000311e-02,-8.398903761064453743e-02
6.800000000000000488e-02,-8.911876945070268397e-02
7.000000000000000666e-02,-9.448761717788185799e-02
7.200000000000000844e-02,-1.000984397861336694e-01
7.399999999999999634e-02,-1.059533608769835933e-01
7.599999999999999811e-02,-1.120539671718543268e-01
7.799999999999999989e-02,-1.184015065258067073e-01
8.000000000000000167e-02,-1.249970700249395245e-01
8.200000000000000344e-02,-1.318417639350342729e-01
8.400000000000000522e-02,-1.389368885432835099e-01
8.600000000000000699e-02,-1.462841029549852290e-01
8.799999999999999489e-02,-1.538855655547528289e-01
8.999999999999999667e-02,-1.617440598391499673e-01
9.199999999999999845e-02,-1.698631054955772879e-01
9.400000000000000022e-02,-1.782470542195728480e-01
9.600000000000000200e-02,-1.869011691434201983e-01
9.800000000000000377e-02,-1.958316860421848993e-01
1.000000000000000056e-01,-2.050386634834169830e-01
1.020000000000000073e-01,-2.145088149770031372e-01
1.040000000000000091e-01,-2.242227012337734693e-01
1.059999999999999970e-01,-2.341618894997403999e-01
1.079999999999999988e-01,-2.443088896811202448e-01
1.100000000000000006e-01,-2.546470630496607268e-01
1.120000000000000023e-01,-2.651605032408073104e-01
1.140000000000000041e-01,-2.758338899024084245e-01
1.160000000000000059e-01,-2.866523162526509738e-01
1.180000000000000077e-01,-2.976010929220712087e-01
1.199999999999999956e-01,-3.086655317096852480e-01
1.219999999999999973e-01,-3.198307141746618010e-01
1.239999999999999991e-01,-3.310812511952220816e-01
1.260000000000000009e-01,-3.424010406365765591e-01
1.280000000000000027e-01,-3.537730309715100274e-01
1.300000000000000044e-01,-3.651789990055019919e-01
