# d=[367.87284522 409.13036753 336.8975626  303.36503701 264.08523418
 255.79082822 268.46756227 239.81218468]
# TotalMass=7.140152630913054T, max_u17=47.244129455708034mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910770047151931805e-05
2.000000000000000042e-03,-2.928811862837601629e-04
4.000000000000000083e-03,-7.524460776472278794e-04
6.000000000000000125e-03,-1.427110584176753292e-03
8.000000000000000167e-03,-2.306059119012171706e-03
1.000000000000000021e-02,-3.378291249445751661e-03
1.200000000000000025e-02,-4.632609722858585695e-03
1.400000000000000029e-02,-6.057680357123826353e-03
1.600000000000000033e-02,-7.642173727763643121e-03
1.800000000000000211e-02,-9.374982876304406229e-03
2.000000000000000042e-02,-1.124550530223341997e-02
2.199999999999999872e-02,-1.324394485180298460e-02
2.400000000000000050e-02,-1.536157124802973312e-02
2.600000000000000228e-02,-1.759091252327022598e-02
2.800000000000000058e-02,-1.992585091231110356e-02
2.999999999999999889e-02,-2.236158435610654041e-02
3.200000000000000067e-02,-2.489444117109185575e-02
3.400000000000000244e-02,-2.752155312170335641e-02
3.600000000000000422e-02,-3.024040931050143988e-02
3.799999999999999906e-02,-3.304832752694202014e-02
4.000000000000000083e-02,-3.594770773477883735e-02
4.200000000000000261e-02,-3.895129325564074957e-02
4.399999999999999745e-02,-4.207584751625358804e-02
4.599999999999999922e-02,-4.533592859302747885e-02
4.800000000000000100e-02,-4.874360318672375098e-02
5.000000000000000278e-02,-5.230828860431392668e-02
5.200000000000000455e-02,-5.603672448640571735e-02
5.399999999999999939e-02,-5.993306629210820580e-02
5.600000000000000117e-02,-6.399908522401391575e-02
5.800000000000000294e-02,-6.823445482816552221e-02
5.999999999999999778e-02,-7.263711272836947952e-02
6.199999999999999956e-02,-7.720366721701121815e-02
6.400000000000000133e-02,-8.192981117059124074e-02
6.600000000000000311e-02,-8.681074824570217396e-02
6.800000000000000488e-02,-9.184162965226330688e-02
7.000000000000000666e-02,-9.701798251040885668e-02
7.200000000000000844e-02,-1.023361216477872426e-01
7.399999999999999634e-02,-1.077935364151683395e-01
7.599999999999999811e-02,-1.133892427794323671e-01
7.799999999999999989e-02,-1.191240891502921284e-01
8.000000000000000167e-02,-1.250009930232335309e-01
8.200000000000000344e-02,-1.310251044851553914e-01
8.400000000000000522e-02,-1.372039033085135362e-01
8.600000000000000699e-02,-1.435471999142804156e-01
8.799999999999999489e-02,-1.500670249219780150e-01
8.999999999999999667e-02,-1.567774177784526657e-01
9.199999999999999845e-02,-1.636941222652299466e-01
9.400000000000000022e-02,-1.708342039214796881e-01
9.600000000000000200e-02,-1.782156108878270306e-01
9.800000000000000377e-02,-1.858567045413188623e-01
1.000000000000000056e-01,-1.937685988061185194e-01
1.020000000000000073e-01,-2.019475334934599242e-01
1.040000000000000091e-01,-2.103816896838557049e-01
1.059999999999999970e-01,-2.190580799254324695e-01
1.079999999999999988e-01,-2.279623411529799748e-01
1.100000000000000006e-01,-2.370786322670807300e-01
1.120000000000000023e-01,-2.463896295278165394e-01
1.140000000000000041e-01,-2.558766026785405656e-01
1.160000000000000059e-01,-2.655195472950223623e-01
1.180000000000000077e-01,-2.752973451239942859e-01
1.199999999999999956e-01,-2.851879244119926438e-01
1.219999999999999973e-01,-2.951683961092733122e-01
1.239999999999999991e-01,-3.052151485281050514e-01
1.260000000000000009e-01,-3.153038913465257553e-01
1.280000000000000027e-01,-3.254096484329692118e-01
1.300000000000000044e-01,-3.355067065478919419e-01
1.320000000000000062e-01,-3.455685325445747025e-01
1.340000000000000080e-01,-3.555676746374646924e-01
1.360000000000000098e-01,-3.654756634997098907e-01
1.380000000000000115e-01,-3.752629267170654037e-01
1.400000000000000133e-01,-3.848987261588778241e-01
1.420000000000000151e-01,-3.943511230512718457e-01
1.440000000000000169e-01,-4.035869709304890640e-01
1.459999999999999909e-01,-4.125719330765123538e-01
1.479999999999999927e-01,-4.212705190814396983e-01
