# d=[300.01138528 436.45952152 210.67425474 197.00830461 374.49581736
 291.25727103 291.97634891 407.86482683]
# TotalMass=9.38793694404652T, max_u17=70.00074650933007mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910926671905565442e-05
2.000000000000000042e-03,-2.928927516828204263e-04
4.000000000000000083e-03,-7.525008593443055895e-04
6.000000000000000125e-03,-1.427326201387468145e-03
8.000000000000000167e-03,-2.306766567308219523e-03
1.000000000000000021e-02,-3.380222771897477795e-03
1.200000000000000025e-02,-4.637097138120556405e-03
1.400000000000000029e-02,-6.066793145301969253e-03
1.600000000000000033e-02,-7.658716715152851309e-03
1.800000000000000211e-02,-9.402279493785036663e-03
2.000000000000000042e-02,-1.128691411477092225e-02
2.199999999999999872e-02,-1.330209162130448382e-02
2.400000000000000050e-02,-1.543732121680343843e-02
2.600000000000000228e-02,-1.768215150165576219e-02
2.800000000000000058e-02,-2.002618235515436773e-02
2.999999999999999889e-02,-2.245907686997240457e-02
3.200000000000000067e-02,-2.497057244241931637e-02
3.400000000000000244e-02,-2.755049006635687525e-02
3.600000000000000422e-02,-3.018874088356733945e-02
3.799999999999999906e-02,-3.287532911096789634e-02
4.000000000000000083e-02,-3.560616943508647381e-02
4.200000000000000261e-02,-3.838889474204922048e-02
4.399999999999999745e-02,-4.123701610562851422e-02
4.599999999999999922e-02,-4.416408192456784676e-02
4.800000000000000100e-02,-4.718365506521349229e-02
5.000000000000000278e-02,-5.030928477761985318e-02
5.200000000000000455e-02,-5.355447400171206573e-02
5.399999999999999939e-02,-5.693264291990278447e-02
5.600000000000000117e-02,-6.045708980694761842e-02
5.800000000000000294e-02,-6.414095036459223353e-02
5.999999999999999778e-02,-6.799716659531761243e-02
6.199999999999999956e-02,-7.203845667071484549e-02
6.400000000000000133e-02,-7.627726739552853630e-02
6.600000000000000311e-02,-8.072572994120588707e-02
6.800000000000000488e-02,-8.539562953369628229e-02
7.000000000000000666e-02,-9.029837996646471188e-02
7.200000000000000844e-02,-9.544500337822764413e-02
7.399999999999999634e-02,-1.008461154937833337e-01
7.599999999999999811e-02,-1.065119162952892773e-01
7.799999999999999989e-02,-1.124521858848740036e-01
8.000000000000000167e-02,-1.186762753334275194e-01
8.200000000000000344e-02,-1.251931017853464279e-01
8.400000000000000522e-02,-1.320111668016387407e-01
8.600000000000000699e-02,-1.391385776985580025e-01
8.799999999999999489e-02,-1.465830614724910608e-01
8.999999999999999667e-02,-1.543519805637313669e-01
9.199999999999999845e-02,-1.624523500007394317e-01
9.400000000000000022e-02,-1.708908555791526507e-01
9.600000000000000200e-02,-1.796738728498440685e-01
9.800000000000000377e-02,-1.888074868054684385e-01
1.000000000000000056e-01,-1.982903219652681348e-01
1.020000000000000073e-01,-2.081063790277831449e-01
1.040000000000000091e-01,-2.182322587992003848e-01
1.059999999999999970e-01,-2.286443813906666456e-01
1.079999999999999988e-01,-2.393190105919094368e-01
1.100000000000000006e-01,-2.502322795693273094e-01
1.120000000000000023e-01,-2.613602177373742785e-01
1.140000000000000041e-01,-2.726787784679957083e-01
1.160000000000000059e-01,-2.841638671111916259e-01
1.180000000000000077e-01,-2.957913686181930513e-01
1.199999999999999956e-01,-3.075371739051669384e-01
1.219999999999999973e-01,-3.193772039853727263e-01
1.239999999999999991e-01,-3.312874308427315451e-01
1.260000000000000009e-01,-3.432438940266411276e-01
1.280000000000000027e-01,-3.552227120189602183e-01
1.300000000000000044e-01,-3.672000875576946211e-01
1.320000000000000062e-01,-3.791523062922833587e-01
1.340000000000000080e-01,-3.910557283827424957e-01
1.360000000000000098e-01,-4.028867729259685282e-01
1.380000000000000115e-01,-4.146218953814683195e-01
1.400000000000000133e-01,-4.262375584588527500e-01
1.420000000000000151e-01,-4.377101972041099187e-01
1.440000000000000169e-01,-4.490161792659010942e-01
1.459999999999999909e-01,-4.601317615241508618e-01
1.479999999999999927e-01,-4.710330444113099979e-01
1.499999999999999944e-01,-4.816959253457432921e-01
1.519999999999999962e-01,-4.920960527245619165e-01
1.539999999999999980e-01,-5.022087818917136959e-01
1.559999999999999998e-01,-5.120091344117755350e-01
1.580000000000000016e-01,-5.214717618492833440e-01
1.600000000000000033e-01,-5.305797413147841368e-01
1.620000000000000051e-01,-5.393333702563389842e-01
1.640000000000000069e-01,-5.477413086623360572e-01
1.660000000000000087e-01,-5.558117357496498157e-01
1.680000000000000104e-01,-5.635523474967909507e-01
1.700000000000000122e-01,-5.709703617403688591e-01
1.720000000000000140e-01,-5.780725309149359337e-01
