# d=[354.07455633 197.19838884 294.90787712 210.01108934 217.10103098
 268.70028201 324.0426344  199.09429117]
# TotalMass=5.894876500758878T, max_u17=70.00011334048332mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910905691458261785e-05
2.000000000000000042e-03,-2.928915653690029549e-04
4.000000000000000083e-03,-7.524975329921797717e-04
6.000000000000000125e-03,-1.427319149753988750e-03
8.000000000000000167e-03,-2.306751468999283534e-03
1.000000000000000021e-02,-3.380186795063012256e-03
1.200000000000000025e-02,-4.637009749470991440e-03
1.400000000000000029e-02,-6.066594131860506695e-03
1.600000000000000033e-02,-7.658302640720345347e-03
1.800000000000000211e-02,-9.401490355050303588e-03
2.000000000000000042e-02,-1.128552241443325950e-02
2.199999999999999872e-02,-1.329979639796726940e-02
2.400000000000000050e-02,-1.543374971857882152e-02
2.600000000000000228e-02,-1.767687111884618661e-02
2.800000000000000058e-02,-2.001872510877462930e-02
2.999999999999999889e-02,-2.244897818278965632e-02
3.200000000000000067e-02,-2.495742511465788918e-02
3.400000000000000244e-02,-2.753401337092080403e-02
3.600000000000000422e-02,-3.016886352789200504e-02
3.799999999999999906e-02,-3.285228353718090688e-02
4.000000000000000083e-02,-3.558059358988580750e-02
4.200000000000000261e-02,-3.836193616271794948e-02
4.399999999999999745e-02,-4.121043204701228813e-02
4.599999999999999922e-02,-4.414032818862059782e-02
4.800000000000000100e-02,-4.716595525503705644e-02
5.000000000000000278e-02,-5.030167117875358057e-02
5.200000000000000455e-02,-5.356179128781217436e-02
5.399999999999999939e-02,-5.696050637825057078e-02
5.600000000000000117e-02,-6.051179081217310934e-02
5.800000000000000294e-02,-6.422930339815328959e-02
5.999999999999999778e-02,-6.812629418419254013e-02
6.199999999999999956e-02,-7.221551114005585192e-02
6.400000000000000133e-02,-7.650909120361663873e-02
6.600000000000000311e-02,-8.101845946899860484e-02
6.800000000000000488e-02,-8.575425039139593364e-02
7.000000000000000666e-02,-9.072624499770406969e-02
7.200000000000000844e-02,-9.594332742476788245e-02
7.399999999999999634e-02,-1.014134634693907022e-01
7.599999999999999811e-02,-1.071437030579804606e-01
7.799999999999999989e-02,-1.131402076630825537e-01
8.000000000000000167e-02,-1.194082929520129399e-01
8.200000000000000344e-02,-1.259524955829161574e-01
8.400000000000000522e-02,-1.327766819003160237e-01
8.600000000000000699e-02,-1.398841761910886161e-01
8.799999999999999489e-02,-1.472778951809554371e-01
8.999999999999999667e-02,-1.549604943912297750e-01
9.199999999999999845e-02,-1.629345216727661194e-01
9.400000000000000022e-02,-1.712025729186766876e-01
9.600000000000000200e-02,-1.797674448389005308e-01
9.800000000000000377e-02,-1.886322797628947612e-01
1.000000000000000056e-01,-1.977935074539448057e-01
1.020000000000000073e-01,-2.072337757457428931e-01
1.040000000000000091e-01,-2.169292468645274141e-01
1.059999999999999970e-01,-2.268568644979034876e-01
1.079999999999999988e-01,-2.369943996483995785e-01
1.100000000000000006e-01,-2.473204704292394918e-01
1.120000000000000023e-01,-2.578145355484997014e-01
1.140000000000000041e-01,-2.684568620023213281e-01
1.160000000000000059e-01,-2.792284682144510199e-01
1.180000000000000077e-01,-2.901110444986845782e-01
1.199999999999999956e-01,-3.010868532673014464e-01
1.219999999999999973e-01,-3.121386118516000785e-01
1.239999999999999991e-01,-3.232493611347416751e-01
1.260000000000000009e-01,-3.344023234216499385e-01
1.280000000000000027e-01,-3.455807530889823398e-01
1.300000000000000044e-01,-3.567677835765764027e-01
1.320000000000000062e-01,-3.679462742093875249e-01
1.340000000000000080e-01,-3.790986601873343464e-01
1.360000000000000098e-01,-3.902068088631381326e-01
1.380000000000000115e-01,-4.012518851597817737e-01
1.400000000000000133e-01,-4.122142286745253958e-01
1.420000000000000151e-01,-4.230732446899775345e-01
1.440000000000000169e-01,-4.338073109777639824e-01
1.459999999999999909e-01,-4.443937019480662665e-01
1.479999999999999927e-01,-4.548085313772591287e-01
1.499999999999999944e-01,-4.650267146416109387e-01
1.519999999999999962e-01,-4.750219511000629002e-01
1.539999999999999980e-01,-4.847667270032563480e-01
1.559999999999999998e-01,-4.942323390567678887e-01
1.580000000000000016e-01,-5.033889385298865315e-01
1.600000000000000033e-01,-5.122144217672969235e-01
1.620000000000000051e-01,-5.207033331800809961e-01
1.640000000000000069e-01,-5.288581275336682319e-01
1.660000000000000087e-01,-5.366804570233580929e-01
1.680000000000000104e-01,-5.441713076377006075e-01
1.700000000000000122e-01,-5.513311497039622422e-01
1.720000000000000140e-01,-5.581601009201097030e-01
1.740000000000000158e-01,-5.646581000968147190e-01
1.759999999999999898e-01,-5.708250897571934823e-01
1.779999999999999916e-01,-5.766612056619653259e-01
1.799999999999999933e-01,-5.821669712373348515e-01
1.819999999999999951e-01,-5.873434947791515981e-01
1.839999999999999969e-01,-5.921926671895582084e-01
1.859999999999999987e-01,-5.967173578743315554e-01
1.880000000000000004e-01,-6.009216062969457983e-01
1.900000000000000022e-01,-6.048108065589974380e-01
1.920000000000000040e-01,-6.083918822685197014e-01
1.940000000000000058e-01,-6.116734488815225301e-01
1.960000000000000075e-01,-6.146659606714452995e-01
1.980000000000000093e-01,-6.173818395087659061e-01
2.000000000000000111e-01,-6.198355827295451981e-01
2.020000000000000129e-01,-6.220438475452205740e-01
2.040000000000000147e-01,-6.240255097011849772e-01
2.060000000000000164e-01,-6.258016944296638240e-01
2.080000000000000182e-01,-6.273957781605132844e-01
2.099999999999999922e-01,-6.288333599454727363e-01
2.119999999999999940e-01,-6.301422021071563240e-01
2.139999999999999958e-01,-6.313521402302838537e-01
2.159999999999999976e-01,-6.324949632528571453e-01
2.179999999999999993e-01,-6.336042650700922652e-01
2.200000000000000011e-01,-6.347042100301607537e-01
2.220000000000000029e-01,-6.357982836646225433e-01
2.240000000000000047e-01,-6.368801512718806901e-01
2.260000000000000064e-01,-6.379444910378786471e-01
2.280000000000000082e-01,-6.389867467054194394e-01
2.300000000000000100e-01,-6.400028731991624920e-01
2.320000000000000118e-01,-6.409890797503936533e-01
2.340000000000000135e-01,-6.419415748974363067e-01
2.360000000000000153e-01,-6.428563174366112021e-01
2.380000000000000171e-01,-6.437287769882444888e-01
2.399999999999999911e-01,-6.445537073484060020e-01
2.419999999999999929e-01,-6.453249352480405765e-01
2.439999999999999947e-01,-6.460351665665057252e-01
2.459999999999999964e-01,-6.466758114752694242e-01
2.479999999999999982e-01,-6.472368294459414084e-01
2.500000000000000000e-01,-6.477065945668439850e-01
2.520000000000000018e-01,-6.480717811908883741e-01
2.540000000000000036e-01,-6.483172695965285781e-01
2.560000000000000053e-01,-6.484260710898979152e-01
2.580000000000000071e-01,-6.483792718115866105e-01
2.600000000000000089e-01,-6.481653887955282078e-01
2.620000000000000107e-01,-6.477897354747818026e-01
2.640000000000000124e-01,-6.472650071568879504e-01
2.660000000000000142e-01,-6.466018895953487000e-01
2.680000000000000160e-01,-6.458090840789132425e-01
2.700000000000000178e-01,-6.448933464815325145e-01
2.720000000000000195e-01,-6.438595401862129419e-01
2.740000000000000213e-01,-6.427107031147981653e-01
2.760000000000000231e-01,-6.414481293742707591e-01
2.780000000000000249e-01,-6.400714662370029506e-01
