# d=[522.6741935  205.11179182 427.69756828 628.78883164 535.50685187
 250.17003702 438.37167934 201.54830957]
# TotalMass=14.37241676263656T, max_u17=69.9555162865256mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910752570222344026e-05
2.000000000000000042e-03,-2.928810251867819577e-04
4.000000000000000083e-03,-7.524596279300156286e-04
6.000000000000000125e-03,-1.427219406803980880e-03
8.000000000000000167e-03,-2.306530450387684391e-03
1.000000000000000021e-02,-3.379749703262629589e-03
1.200000000000000025e-02,-4.636223416022261859e-03
1.400000000000000029e-02,-6.065304227899592955e-03
1.600000000000000033e-02,-7.656386264744851310e-03
1.800000000000000211e-02,-9.398958726041637193e-03
2.000000000000000042e-02,-1.128268491585409684e-02
2.199999999999999872e-02,-1.329749099518307692e-02
2.400000000000000050e-02,-1.543363616681782055e-02
2.600000000000000228e-02,-1.768177294684273454e-02
2.800000000000000058e-02,-2.003299522533388832e-02
2.999999999999999889e-02,-2.247885256981149021e-02
3.200000000000000067e-02,-2.501132079513150586e-02
3.400000000000000244e-02,-2.762272183710275109e-02
3.600000000000000422e-02,-3.030559009742837817e-02
3.799999999999999906e-02,-3.305248735606452354e-02
4.000000000000000083e-02,-3.586159219646798541e-02
4.200000000000000261e-02,-3.874225238127136650e-02
4.399999999999999745e-02,-4.170887891559240529e-02
4.599999999999999922e-02,-4.477484773195471168e-02
4.800000000000000100e-02,-4.795224735214400485e-02
5.000000000000000278e-02,-5.125166854353842977e-02
5.200000000000000455e-02,-5.468205404182484297e-02
5.399999999999999939e-02,-5.825062301635157425e-02
5.600000000000000117e-02,-6.196288022340942780e-02
5.800000000000000294e-02,-6.582271408164083737e-02
5.999999999999999778e-02,-6.983259152291079741e-02
6.199999999999999956e-02,-7.399383180984830943e-02
6.400000000000000133e-02,-7.830692629867748444e-02
6.600000000000000311e-02,-8.277190597044307985e-02
6.800000000000000488e-02,-8.738874579980825119e-02
7.000000000000000666e-02,-9.215777411255887674e-02
7.200000000000000844e-02,-9.708006522048352738e-02
7.399999999999999634e-02,-1.021577954706015395e-01
7.599999999999999811e-02,-1.073945459507500561e-01
7.799999999999999989e-02,-1.127955391052652551e-01
8.000000000000000167e-02,-1.183677912273501664e-01
8.200000000000000344e-02,-1.241201869810898972e-01
8.400000000000000522e-02,-1.300634961819903401e-01
8.600000000000000699e-02,-1.362103175578683878e-01
8.799999999999999489e-02,-1.425749469193228203e-01
8.999999999999999667e-02,-1.491731887717395455e-01
9.199999999999999845e-02,-1.560221217228359158e-01
9.400000000000000022e-02,-1.631398283953598149e-01
9.600000000000000200e-02,-1.705451003084305084e-01
9.800000000000000377e-02,-1.782571275454597481e-01
1.000000000000000056e-01,-1.862879921093065494e-01
1.020000000000000073e-01,-1.946351693577589581e-01
1.040000000000000091e-01,-2.032884251492008132e-01
1.059999999999999970e-01,-2.122367234519531021e-01
1.079999999999999988e-01,-2.214679613312099671e-01
1.100000000000000006e-01,-2.309687335332577529e-01
1.120000000000000023e-01,-2.407241314523828057e-01
1.140000000000000041e-01,-2.507175802566150580e-01
1.160000000000000059e-01,-2.609307168785124920e-01
1.180000000000000077e-01,-2.713433105037464932e-01
1.199999999999999956e-01,-2.819332261133429829e-01
1.219999999999999973e-01,-2.926764305338825922e-01
1.239999999999999991e-01,-3.035470393548232448e-01
1.260000000000000009e-01,-3.145174020447560892e-01
1.280000000000000027e-01,-3.255582216748798552e-01
1.300000000000000044e-01,-3.366387048571948259e-01
1.320000000000000062e-01,-3.477267368605888032e-01
1.340000000000000080e-01,-3.587890764178049974e-01
1.360000000000000098e-01,-3.697915644964081539e-01
1.380000000000000115e-01,-3.806993412761430773e-01
1.400000000000000133e-01,-3.914770657505007856e-01
1.420000000000000151e-01,-4.020891327448857799e-01
1.440000000000000169e-01,-4.124998826981765565e-01
1.459999999999999909e-01,-4.226738002599627064e-01
1.479999999999999927e-01,-4.325756985808573707e-01
1.499999999999999944e-01,-4.421708870830832194e-01
1.519999999999999962e-01,-4.514253214512854995e-01
1.539999999999999980e-01,-4.603057355317759503e-01
1.559999999999999998e-01,-4.687797557221868860e-01
1.580000000000000016e-01,-4.768159992218725662e-01
1.600000000000000033e-01,-4.843929841124238744e-01
1.620000000000000051e-01,-4.915080201311237684e-01
1.640000000000000069e-01,-4.981684307109148224e-01
1.660000000000000087e-01,-5.043827753974192696e-01
1.680000000000000104e-01,-5.101609001599980431e-01
1.700000000000000122e-01,-5.155139839738503982e-01
1.720000000000000140e-01,-5.204545839926851825e-01
1.740000000000000158e-01,-5.249966815510436202e-01
1.759999999999999898e-01,-5.291557308879010213e-01
1.779999999999999916e-01,-5.329487117573047383e-01
1.799999999999999933e-01,-5.363941859976562032e-01
1.819999999999999951e-01,-5.395123567640324191e-01
1.839999999999999969e-01,-5.423251275767665414e-01
1.859999999999999987e-01,-5.448561567050734800e-01
1.880000000000000004e-01,-5.471309008514034788e-01
1.900000000000000022e-01,-5.491766408279677991e-01
1.920000000000000040e-01,-5.510224810898242120e-01
1.940000000000000058e-01,-5.526993147388362670e-01
1.960000000000000075e-01,-5.542397460427133105e-01
