# d=[433.34877692 306.52134829 289.53007973 191.5784359  472.57744198
 220.99444843 273.48354261 486.8242741 ]
# TotalMass=11.419834043328635T, max_u17=69.98044680242919mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910926288742309950e-05
2.000000000000000042e-03,-2.928930290615264220e-04
4.000000000000000083e-03,-7.525027028105627305e-04
6.000000000000000125e-03,-1.427331480915967638e-03
8.000000000000000167e-03,-2.306773926706708142e-03
1.000000000000000021e-02,-3.380219642652255475e-03
1.200000000000000025e-02,-4.637048280186749187e-03
1.400000000000000029e-02,-6.066627335615859540e-03
1.600000000000000033e-02,-7.658314159748348497e-03
1.800000000000000211e-02,-9.401463418059212776e-03
2.000000000000000042e-02,-1.128545065008709249e-02
2.199999999999999872e-02,-1.329970243797843135e-02
2.400000000000000050e-02,-1.543371328300914384e-02
2.600000000000000228e-02,-1.767706785156748089e-02
2.800000000000000058e-02,-2.001947683643319140e-02
2.999999999999999889e-02,-2.245081454046236880e-02
3.200000000000000067e-02,-2.496115565478843057e-02
3.400000000000000244e-02,-2.754080840851689735e-02
3.600000000000000422e-02,-3.018034115452552721e-02
3.799999999999999906e-02,-3.287059954396464451e-02
4.000000000000000083e-02,-3.560853056650806203e-02
4.200000000000000261e-02,-3.840298781505090131e-02
4.399999999999999745e-02,-4.126887874488034680e-02
4.599999999999999922e-02,-4.422129995545570624e-02
4.800000000000000100e-02,-4.727547892127676593e-02
5.000000000000000278e-02,-5.044669919472345720e-02
5.200000000000000455e-02,-5.375021065112402935e-02
5.399999999999999939e-02,-5.720112721922608612e-02
5.600000000000000117e-02,-6.081431533301377701e-02
5.800000000000000294e-02,-6.460427700696620701e-02
5.999999999999999778e-02,-6.858504172837950885e-02
6.199999999999999956e-02,-7.277006204934406697e-02
6.400000000000000133e-02,-7.717209803134018886e-02
6.600000000000000311e-02,-8.180311471350919239e-02
6.800000000000000488e-02,-8.667420654626548093e-02
7.000000000000000666e-02,-9.179554249664798049e-02
7.200000000000000844e-02,-9.717633451306459391e-02
7.399999999999999634e-02,-1.028248310703774038e-01
7.599999999999999811e-02,-1.087483364595281526e-01
7.799999999999999989e-02,-1.149532553987695355e-01
8.000000000000000167e-02,-1.214451516903798378e-01
8.200000000000000344e-02,-1.282288282759163067e-01
8.400000000000000522e-02,-1.353084449957126789e-01
8.600000000000000699e-02,-1.426876504972338089e-01
8.799999999999999489e-02,-1.503697140885938421e-01
8.999999999999999667e-02,-1.583576626884456995e-01
9.199999999999999845e-02,-1.666544181918368506e-01
9.400000000000000022e-02,-1.752629307515772006e-01
9.600000000000000200e-02,-1.841863038418163900e-01
9.800000000000000377e-02,-1.934279074962697853e-01
1.000000000000000056e-01,-2.029842864747627429e-01
1.020000000000000073e-01,-2.128380572051080943e-01
1.040000000000000091e-01,-2.229651726414507706e-01
1.059999999999999970e-01,-2.333421624413347661e-01
1.079999999999999988e-01,-2.439461586467545073e-01
1.100000000000000006e-01,-2.547549038591835902e-01
1.120000000000000023e-01,-2.657467430827249455e-01
1.140000000000000041e-01,-2.769006006650528429e-01
1.160000000000000059e-01,-2.881959438767934811e-01
1.180000000000000077e-01,-2.996127346527596158e-01
1.199999999999999956e-01,-3.111313709025683716e-01
1.219999999999999973e-01,-3.227326186183648304e-01
1.239999999999999991e-01,-3.343975357982036933e-01
1.260000000000000009e-01,-3.461073889973771966e-01
1.280000000000000027e-01,-3.578435631467336009e-01
1.300000000000000044e-01,-3.695874651640712050e-01
1.320000000000000062e-01,-3.813204218533394751e-01
1.340000000000000080e-01,-3.930235726485526992e-01
1.360000000000000098e-01,-4.046777579161476845e-01
1.380000000000000115e-01,-4.162634037723788594e-01
1.400000000000000133e-01,-4.277604046850891906e-01
1.420000000000000151e-01,-4.391480054900995800e-01
1.440000000000000169e-01,-4.504046848355969246e-01
1.459999999999999909e-01,-4.615080424442763452e-01
1.479999999999999927e-01,-4.724346929220528124e-01
1.499999999999999944e-01,-4.831601691137616950e-01
1.519999999999999962e-01,-4.936588381828054262e-01
1.539999999999999980e-01,-5.039038336499602755e-01
1.559999999999999998e-01,-5.138670065491465211e-01
1.580000000000000016e-01,-5.235188986344417872e-01
1.600000000000000033e-01,-5.328375664260828204e-01
1.620000000000000051e-01,-5.418174248179802310e-01
1.640000000000000069e-01,-5.504604591844473038e-01
1.660000000000000087e-01,-5.587674730283259672e-01
1.680000000000000104e-01,-5.667381967342206561e-01
1.700000000000000122e-01,-5.743714228481777706e-01
1.720000000000000140e-01,-5.816651661425831232e-01
1.740000000000000158e-01,-5.886168461225051995e-01
1.759999999999999898e-01,-5.952234891114074333e-01
1.779999999999999916e-01,-6.014819466300632689e-01
1.799999999999999933e-01,-6.073891264523290090e-01
1.819999999999999951e-01,-6.129422324820447132e-01
1.839999999999999969e-01,-6.181390094446661543e-01
1.859999999999999987e-01,-6.229779883240532667e-01
1.880000000000000004e-01,-6.274587284958117461e-01
1.900000000000000022e-01,-6.315820526066474594e-01
1.920000000000000040e-01,-6.353502704153315417e-01
1.940000000000000058e-01,-6.387673880369558743e-01
1.960000000000000075e-01,-6.418392993120173307e-01
1.980000000000000093e-01,-6.445739563501207137e-01
2.000000000000000111e-01,-6.469815166683818841e-01
2.020000000000000129e-01,-6.490744647488012609e-01
2.040000000000000147e-01,-6.508677062675307656e-01
2.060000000000000164e-01,-6.523786336925455620e-01
2.080000000000000182e-01,-6.536271623960023813e-01
2.099999999999999922e-01,-6.546357368759481155e-01
2.119999999999999940e-01,-6.554293071225996137e-01
2.139999999999999958e-01,-6.560352755918962275e-01
2.159999999999999976e-01,-6.564834156594134829e-01
2.179999999999999993e-01,-6.568057628182062402e-01
2.200000000000000011e-01,-6.570254205315270157e-01
2.220000000000000029e-01,-6.571453513338183505e-01
2.240000000000000047e-01,-6.571592749366305108e-01
2.260000000000000064e-01,-6.570625390202183835e-01
2.280000000000000082e-01,-6.568519064483557823e-01
2.300000000000000100e-01,-6.565253308572586155e-01
2.320000000000000118e-01,-6.560817236505079864e-01
2.340000000000000135e-01,-6.555207152711859386e-01
2.360000000000000153e-01,-6.548424133961395777e-01
2.380000000000000171e-01,-6.540471604321040910e-01
2.399999999999999911e-01,-6.531352924233734258e-01
2.419999999999999929e-01,-6.521069012361622175e-01
2.439999999999999947e-01,-6.509616016863311039e-01
2.459999999999999964e-01,-6.496983051352077654e-01
2.479999999999999982e-01,-6.483150009967147964e-01
2.500000000000000000e-01,-6.468085475777345383e-01
2.520000000000000018e-01,-6.451744737071326563e-01
2.540000000000000036e-01,-6.434067926841582352e-01
2.560000000000000053e-01,-6.414978301740003053e-01
2.580000000000000071e-01,-6.394380677733235707e-01
2.600000000000000089e-01,-6.372253984339592003e-01
2.620000000000000107e-01,-6.348743936105254448e-01
2.640000000000000124e-01,-6.324067951063759851e-01
2.660000000000000142e-01,-6.298420369158435062e-01
2.680000000000000160e-01,-6.271971924227515149e-01
2.700000000000000178e-01,-6.244869459935386002e-01
2.720000000000000195e-01,-6.217235900175267505e-01
2.740000000000000213e-01,-6.189170482782216931e-01
2.760000000000000231e-01,-6.160749263234645001e-01
2.780000000000000249e-01,-6.132025892279578949e-01
2.800000000000000266e-01,-6.102981238786761020e-01
2.820000000000000284e-01,-6.073473324610448865e-01
2.840000000000000302e-01,-6.043290421167201165e-01
2.860000000000000320e-01,-6.012204353922480093e-01
2.880000000000000338e-01,-5.979972568341680450e-01
2.899999999999999800e-01,-5.946340403006750153e-01
2.919999999999999818e-01,-5.911043537058934261e-01
2.939999999999999836e-01,-5.873810572505966388e-01
2.959999999999999853e-01,-5.834365706069951640e-01
2.979999999999999871e-01,-5.792431440591139236e-01
2.999999999999999889e-01,-5.747731184988980058e-01
3.019999999999999907e-01,-5.699991786630297375e-01
3.039999999999999925e-01,-5.648946138737576117e-01
3.059999999999999942e-01,-5.594335616439658487e-01
3.079999999999999960e-01,-5.535912198118220218e-01
3.099999999999999978e-01,-5.473440331408071513e-01
3.119999999999999996e-01,-5.406698513379782911e-01
3.140000000000000013e-01,-5.335480563795705899e-01
3.160000000000000031e-01,-5.259596580425339729e-01
3.180000000000000049e-01,-5.178873575781248739e-01
3.200000000000000067e-01,-5.093216834125537940e-01
3.220000000000000084e-01,-5.002670929544417167e-01
3.240000000000000102e-01,-4.907358374199304318e-01
3.260000000000000120e-01,-4.807418086746094166e-01
3.280000000000000138e-01,-4.703004747532260610e-01
3.300000000000000155e-01,-4.594288005262998631e-01
3.320000000000000173e-01,-4.481451582739757189e-01
3.340000000000000191e-01,-4.364692330797969033e-01
3.360000000000000209e-01,-4.244219279262056443e-01
3.380000000000000226e-01,-4.120252731582367822e-01
3.400000000000000244e-01,-3.993023445854586573e-01
3.420000000000000262e-01,-3.862771939277103161e-01
3.440000000000000280e-01,-3.729747946018058813e-01
3.460000000000000298e-01,-3.594210050276872570e-01
3.480000000000000315e-01,-3.456425507419881860e-01
3.500000000000000333e-01,-3.316670256842602083e-01
3.519999999999999796e-01,-3.175229121054629067e-01
3.539999999999999813e-01,-3.032396176781059771e-01
3.559999999999999831e-01,-2.888475275986598922e-01
3.579999999999999849e-01,-2.743780687966196896e-01
3.599999999999999867e-01,-2.598637828245693449e-01
3.619999999999999885e-01,-2.453384036146220859e-01
3.639999999999999902e-01,-2.308369360548534754e-01
3.659999999999999920e-01,-2.163957312631657470e-01
3.679999999999999938e-01,-2.020525545071861773e-01
3.699999999999999956e-01,-1.878466419235198803e-01
3.719999999999999973e-01,-1.738187425096845429e-01
3.739999999999999991e-01,-1.600111422758803137e-01
3.760000000000000009e-01,-1.464676679281599059e-01
3.780000000000000027e-01,-1.332336679860166295e-01
3.800000000000000044e-01,-1.203559697932487793e-01
