# d=[650. 650. 650. 650. 650. 650. 650. 650.]
# TotalMass=35.785010625000005T, max_u17=10.69244834282673mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.907455143209428596e-05
2.000000000000000042e-03,-2.926427744133490070e-04
4.000000000000000083e-03,-7.515606007238515972e-04
6.000000000000000125e-03,-1.424782454132989332e-03
8.000000000000000167e-03,-2.301166875207421615e-03
1.000000000000000021e-02,-3.369697054021525591e-03
1.200000000000000025e-02,-4.619964135892133325e-03
1.400000000000000029e-02,-6.042800039474557385e-03
1.600000000000000033e-02,-7.630805844497515374e-03
1.800000000000000211e-02,-9.378458362954221472e-03
2.000000000000000042e-02,-1.128154210097647228e-02
2.199999999999999872e-02,-1.333580594832163221e-02
2.400000000000000050e-02,-1.553497249799275573e-02
2.600000000000000228e-02,-1.786849065791919558e-02
2.800000000000000058e-02,-2.031954229764702108e-02
2.999999999999999889e-02,-2.286378355047798128e-02
3.200000000000000067e-02,-2.546915975829342968e-02
3.400000000000000244e-02,-2.809688466153737949e-02
3.600000000000000422e-02,-3.070340296783257567e-02
3.799999999999999906e-02,-3.324294093149430390e-02
4.000000000000000083e-02,-3.567596697097920322e-02
4.200000000000000261e-02,-3.797727864594225428e-02
4.399999999999999745e-02,-4.013177371597296400e-02
4.599999999999999922e-02,-4.212944974784720020e-02
4.800000000000000100e-02,-4.396553797657188484e-02
5.000000000000000278e-02,-4.564017493213268217e-02
5.200000000000000455e-02,-4.715788584616485701e-02
5.399999999999999939e-02,-4.852710225843213238e-02
5.600000000000000117e-02,-4.975982459009190700e-02
5.800000000000000294e-02,-5.087141916845346751e-02
5.999999999999999778e-02,-5.188046420260091635e-02
6.199999999999999956e-02,-5.280851669080911803e-02
6.400000000000000133e-02,-5.367969898969183334e-02
6.600000000000000311e-02,-5.452011304960659166e-02
6.800000000000000488e-02,-5.535714768887290554e-02
7.000000000000000666e-02,-5.621875786514076573e-02
7.200000000000000844e-02,-5.713279064161557591e-02
7.399999999999999634e-02,-5.812638051886270807e-02
7.599999999999999811e-02,-5.922537378289698812e-02
7.799999999999999989e-02,-6.045370002088561873e-02
8.000000000000000167e-02,-6.183260313585636769e-02
8.200000000000000344e-02,-6.337971827026527005e-02
8.400000000000000522e-02,-6.510807928447320814e-02
8.600000000000000699e-02,-6.702519247260485535e-02
8.799999999999999489e-02,-6.913237816914030720e-02
8.999999999999999667e-02,-7.142459763934182193e-02
9.199999999999999845e-02,-7.389090300350394103e-02
9.400000000000000022e-02,-7.651552875455297498e-02
9.600000000000000200e-02,-7.927950856534728141e-02
9.800000000000000377e-02,-8.216258978890879361e-02
1.000000000000000056e-01,-8.513797587818028312e-02
1.020000000000000073e-01,-8.816682729969790855e-02
1.040000000000000091e-01,-9.120670077927409136e-02
1.059999999999999970e-01,-9.421944376327773263e-02
1.079999999999999988e-01,-9.717137602365673310e-02
1.100000000000000006e-01,-1.000330436760593772e-01
1.120000000000000023e-01,-1.027786621071307555e-01
1.140000000000000041e-01,-1.053853677461915050e-01
1.160000000000000059e-01,-1.078323862276035217e-01
1.180000000000000077e-01,-1.101002095085619886e-01
1.199999999999999956e-01,-1.121698640674663461e-01
1.219999999999999973e-01,-1.140223449760683211e-01
1.239999999999999991e-01,-1.156382789447906734e-01
1.260000000000000009e-01,-1.169978553210620220e-01
1.280000000000000027e-01,-1.180810241292096774e-01
1.300000000000000044e-01,-1.188679090324063770e-01
1.320000000000000062e-01,-1.193393326446771652e-01
1.340000000000000080e-01,-1.194773180351177272e-01
1.360000000000000098e-01,-1.192654277561480819e-01
1.380000000000000115e-01,-1.186888365410854046e-01
1.400000000000000133e-01,-1.177341007121043559e-01
1.420000000000000151e-01,-1.163886702391461470e-01
1.440000000000000169e-01,-1.146402660048707334e-01
1.459999999999999909e-01,-1.124762935010338583e-01
1.479999999999999927e-01,-1.098834705796706002e-01
1.499999999999999944e-01,-1.068478084512811815e-01
1.519999999999999962e-01,-1.033550118337186047e-01
1.539999999999999980e-01,-9.939127529643869419e-02
1.559999999999999998e-01,-9.494437095795102421e-02
1.580000000000000016e-01,-9.000486687062997371e-02
1.600000000000000033e-01,-8.457611728431831122e-02
