filename,d1,d2,d3,d4,d5,d6,d7,d8,TotalMass,max_u17
ba1-fitness1_n_chains=4_n_draws=50.txt,337.67291431,395.81229151,292.37194692,241.49389559,279.32503474,240.68127613,240.96929768,257.31710769,6.49314606224876,48.98601775662887
ba2-fitness1_n_chains=4_n_draws=100.txt,393.44295397,311.6924505,260.56913157,222.0839865,219.90263504,228.49380951,204.72742741,223.58784435,5.309390988971084,57.64298718956595
ba3-fitness1_n_chains=4_n_draws=150.txt,356.81439805,296.73642533,310.89880227,203.6817041,231.07595192,225.02111335,219.4409256,196.11117445,5.134273270470971,59.985331524421916
ba4-fitness2_n_chains=4_n_draws=50.txt,324.68679633,417.69669401,355.18112578,481.95459645,296.96073482,346.51138985,270.90154666,283.13891091,9.267629258456427,43.7912589005378
ba5-fitness2_n_chains=4_n_draws=100.txt,367.87284522,409.13036753,336.8975626,303.36503701,264.08523418,255.79082822,268.46756227,239.81218468,7.140152630913054,47.244129455708034
ba6-fitness2_n_chains=4_n_draws=150.txt,405.09733977,350.28780478,454.83957535,300.39149372,246.48733777,210.41313463,283.03922427,205.62396273,7.074461773977678,47.2377183366194
ba7-fitness3_n_chains=4_n_draws=50.txt,404.46641346,321.50640919,287.78511499,304.78852936,265.04641969,236.36583429,199.97248947,263.44119441,6.38999720052202,48.94509289049728
ba8-fitness3_n_chains=4_n_draws=100.txt,344.11998212,325.12801499,293.28370985,275.26295056,226.39578059,236.69013207,205.45418407,214.42815496,5.37184828194885,59.45467679678861
ba9-fitness3_n_chains=4_n_draws=150.txt,353.71362697,302.94215704,277.35133487,234.07570739,229.96580766,223.88632173,200.87944983,200.66884738,4.996760929147234,62.313317438087495
ga1-fitness1_num_gen=30_sol_per_pop=10.txt,300.01138528,436.45952152,210.67425474,197.00830461,374.49581736,291.25727103,291.97634891,407.86482683,9.38793694404652,70.00074650933007
ga2-fitness1_num_gen=150_sol_per_pop=100.txt,354.07455633,197.19838884,294.90787712,210.01108934,217.10103098,268.70028201,324.0426344,199.09429117,5.894876500758878,70.00011334048332
ga3-fitness2_num_gen=30_sol_per_pop=10.txt,522.6741935,205.11179182,427.69756828,628.78883164,535.50685187,250.17003702,438.37167934,201.54830957,14.37241676263656,69.9555162865256
ga4-fitness2_num_gen=150_sol_per_pop=100.txt,433.34877692,306.52134829,289.53007973,191.5784359,472.57744198,220.99444843,273.48354261,486.8242741,11.419834043328635,69.98044680242919
pre1.txt,150.,150.,150.,150.,150.,150.,150.,150.,1.9057106250000002,112.36995760196221
pre2.txt,400.,400.,400.,400.,400.,400.,400.,400.,13.551720000000001,22.888620270985108
pre3.txt,650.,650.,650.,650.,650.,650.,650.,650.,35.785010625000005,10.69244834282673
